strain	replicate	age.at.death	rupture		
strain	replicate	age.at.death	rupture		
1	N2	1	14	0	
1	N2	1	14	0	
2	N2	1	14	0	
2	N2	1	14	0	
3	N2	1	14	0	
3	N2	1	14	0	
4	N2	1	14	0	
4	N2	1	14	0	
5	N2	1	14	0	
5	N2	1	14	0	
6	N2	1	14	0	
6	N2	1	14	0	
7	N2	1	17	0	
7	N2	1	17	0	
8	N2	1	17	0	
8	N2	1	17	0	
9	N2	1	17	0	
9	N2	1	17	0	
10	N2	1	17	0	
10	N2	1	17	0	
11	N2	1	17	0	
11	N2	1	17	0	
12	N2	1	17	0	
12	N2	1	17	0	
13	N2	1	17	0	
13	N2	1	17	0	
14	N2	1	17	0	
14	N2	1	17	0	
15	N2	1	20	0	
15	N2	1	20	0	
16	N2	1	20	0	
16	N2	1	20	0	
17	N2	1	20	0	
17	N2	1	20	0	
18	N2	1	20	0	
18	N2	1	20	0	
19	N2	1	20	0	
19	N2	1	20	0	
20	N2	1	20	0	
20	N2	1	20	0	
21	N2	1	20	0	
21	N2	1	20	0	
22	N2	1	20	0	
22	N2	1	20	0	
23	N2	1	22	0	
23	N2	1	22	0	
24	N2	1	22	0	
24	N2	1	22	0	
25	N2	1	22	0	
25	N2	1	22	0	
26	N2	1	24	0	
26	N2	1	24	0	
27	N2	1	24	0	
27	N2	1	24	0	
28	N2	1	24	0	
28	N2	1	24	0	
29	N2	1	27	0	
29	N2	1	27	0	
30	N2	1	27	0	
30	N2	1	27	0	
31	N2	1	27	0	
31	N2	1	27	0	
32	N2	1	27	0	
32	N2	1	27	0	
33	N2	1	29	0	
33	N2	1	29	0	
34	N2	1	29	0	
34	N2	1	29	0	
35	N2	1	31	0	
35	N2	1	31	0	
36	N2	2	9	0	
36	N2	2	9	0	
37	N2	2	14	0	
37	N2	2	14	0	
38	N2	2	14	0	
38	N2	2	14	0	
39	N2	2	14	0	
39	N2	2	14	0	
40	N2	2	14	0	
40	N2	2	14	0	
41	N2	2	14	0	
41	N2	2	14	0	
42	N2	2	17	0	
42	N2	2	17	0	
43	N2	2	17	0	
43	N2	2	17	0	
44	N2	2	17	0	
44	N2	2	17	0	
45	N2	2	17	0	
45	N2	2	17	0	
46	N2	2	17	0	
46	N2	2	17	0	
47	N2	2	20	0	
47	N2	2	20	0	
48	N2	2	20	0	
48	N2	2	20	0	
49	N2	2	20	0	
49	N2	2	20	0	
50	N2	2	20	0	
50	N2	2	20	0	
51	N2	2	20	0	
51	N2	2	20	0	
52	N2	2	22	0	
52	N2	2	22	0	
53	N2	2	22	0	
53	N2	2	22	0	
54	N2	2	22	0	
54	N2	2	22	0	
55	N2	2	22	0	
55	N2	2	22	0	
56	N2	2	22	0	
56	N2	2	22	0	
57	N2	2	22	0	
57	N2	2	22	0	
58	N2	2	22	0	
58	N2	2	22	0	
59	N2	2	24	0	
59	N2	2	24	0	
60	N2	2	24	0	
60	N2	2	24	0	
61	N2	2	24	0	
61	N2	2	24	0	
62	N2	2	27	0	
62	N2	2	27	0	
63	N2	2	27	0	
63	N2	2	27	0	
64	N2	2	29	0	
64	N2	2	29	0	
65	N2	2	31	0	
65	N2	2	31	0	
66	N2	2	31	0	
66	N2	2	31	0	
67	N2	2	33	0	
67	N2	2	33	0	
68	N2.Hypoxia	1	14	0	
68	N2.Hypoxia	1	14	0	
69	N2.Hypoxia	1	14	0	
69	N2.Hypoxia	1	14	0	
70	N2.Hypoxia	1	14	0	
70	N2.Hypoxia	1	14	0	
71	N2.Hypoxia	1	14	0	
71	N2.Hypoxia	1	14	0	
72	N2.Hypoxia	1	20	0	
72	N2.Hypoxia	1	20	0	
73	N2.Hypoxia	1	20	0	
73	N2.Hypoxia	1	20	0	
74	N2.Hypoxia	1	20	0	
74	N2.Hypoxia	1	20	0	
75	N2.Hypoxia	1	20	0	
75	N2.Hypoxia	1	20	0	
76	N2.Hypoxia	1	20	0	
76	N2.Hypoxia	1	20	0	
77	N2.Hypoxia	1	20	0	
77	N2.Hypoxia	1	20	0	
78	N2.Hypoxia	1	20	0	
78	N2.Hypoxia	1	20	0	
79	N2.Hypoxia	1	22	0	
79	N2.Hypoxia	1	22	0	
80	N2.Hypoxia	1	22	0	
80	N2.Hypoxia	1	22	0	
81	N2.Hypoxia	1	22	0	
81	N2.Hypoxia	1	22	0	
82	N2.Hypoxia	1	22	0	
82	N2.Hypoxia	1	22	0	
83	N2.Hypoxia	1	22	0	
83	N2.Hypoxia	1	22	0	
84	N2.Hypoxia	1	22	0	
84	N2.Hypoxia	1	22	0	
85	N2.Hypoxia	1	24	0	
85	N2.Hypoxia	1	24	0	
86	N2.Hypoxia	1	24	0	
86	N2.Hypoxia	1	24	0	
87	N2.Hypoxia	1	24	0	
87	N2.Hypoxia	1	24	0	
88	N2.Hypoxia	1	24	0	
88	N2.Hypoxia	1	24	0	
89	N2.Hypoxia	1	24	0	
89	N2.Hypoxia	1	24	0	
90	N2.Hypoxia	1	27	0	
90	N2.Hypoxia	1	27	0	
91	N2.Hypoxia	1	27	0	
91	N2.Hypoxia	1	27	0	
92	N2.Hypoxia	1	27	0	
92	N2.Hypoxia	1	27	0	
93	N2.Hypoxia	1	27	0	
93	N2.Hypoxia	1	27	0	
94	N2.Hypoxia	1	27	0	
94	N2.Hypoxia	1	27	0	
95	N2.Hypoxia	1	27	0	
95	N2.Hypoxia	1	27	0	
96	N2.Hypoxia	1	29	0	
96	N2.Hypoxia	1	29	0	
97	N2.Hypoxia	1	29	0	
97	N2.Hypoxia	1	29	0	
98	N2.Hypoxia	1	31	0	
98	N2.Hypoxia	1	31	0	
99	N2.Hypoxia	1	31	0	
99	N2.Hypoxia	1	31	0	
100	N2.Hypoxia	1	36	0	
100	N2.Hypoxia	1	36	0	
101	N2.Hypoxia	2	14	0	
101	N2.Hypoxia	2	14	0	
102	N2.Hypoxia	2	14	0	
102	N2.Hypoxia	2	14	0	
103	N2.Hypoxia	2	14	0	
103	N2.Hypoxia	2	14	0	
104	N2.Hypoxia	2	14	0	
104	N2.Hypoxia	2	14	0	
105	N2.Hypoxia	2	17	0	
105	N2.Hypoxia	2	17	0	
106	N2.Hypoxia	2	17	0	
106	N2.Hypoxia	2	17	0	
107	N2.Hypoxia	2	17	0	
107	N2.Hypoxia	2	17	0	
108	N2.Hypoxia	2	17	0	
108	N2.Hypoxia	2	17	0	
109	N2.Hypoxia	2	20	0	
109	N2.Hypoxia	2	20	0	
110	N2.Hypoxia	2	20	0	
110	N2.Hypoxia	2	20	0	
111	N2.Hypoxia	2	20	0	
111	N2.Hypoxia	2	20	0	
112	N2.Hypoxia	2	20	0	
112	N2.Hypoxia	2	20	0	
